"site_abbrev" "hen_prevalence" "min_date" "hen_a_param" "hen_b_param"
"1" "CLU" 0.117647058823529 224 2.5 15.5
"2" "CLU" 0 415 0.5 1.5
"3" "CLU" 0.0769230769230769 579 1.5 12.5
"4" "CLU" 0 936 0.5 36.5
"5" "GMP" 0.09375 761 3.5 29.5
"6" "HVB" 0 561 0.5 40.5
"7" "MAC" 0 555 0.5 36.5
"8" "MOM" 0.0476190476190476 747 2.5 40.5
"9" "RED" 0 510 0.5 47.5
"10" "RED" 0.0392156862745098 573 2.5 49.5
"11" "RED" 0.0740740740740741 622 4.5 50.5
"12" "RED" 0.0612244897959184 713 3.5 46.5
"13" "RED" 0.0638297872340425 797 3.5 44.5
"14" "RED" 0.02 878 1.5 49.5
"15" "RED" 0 920 0.5 50.5
"16" "RED" 0.0204081632653061 983 1.5 48.5
"17" "RED" 0.0196078431372549 1067 1.5 50.5
"18" "SUN" 0 440 0.5 36.5
"19" "TOW" 0.134615384615385 519 7.5 45.5
"20" "TOW" 0.0769230769230769 567 4.5 48.5
"21" "TOW" 0.0181818181818182 616 1.5 54.5
"22" "TOW" 0 707 0.5 60.5
"23" "TOW" 0.25 741 2.5 6.5
"24" "TOW" 0.0408163265306122 804 2.5 47.5
"25" "TOW" 0.0185185185185185 864 1.5 53.5
"26" "TOW" 0 913 0.5 56.5
"27" "TOW" 0 934 0.5 4.5
"28" "TOW" 0 976 0.5 57.5
"29" "TOW" 0.0208333333333333 1074 1.5 47.5
