"site_abbrev"	"min_date"	"hen_prevalence"	"hen_num_pos"	"number_of_tests"
"1"	"ANC"	2017-08-06	0.0454545454545455	1	22
"2"	"ANC"	2017-08-31	0.0769230769230769	2	26
"3"	"BAN"	2017-08-30	0.107142857142857	3	28
"4"	"BEL"	2019-06-17	0	0	32
"5"	"BUR"	2018-07-01	0.0833333333333333	3	36
"6"	"BUR"	2018-07-31	0	0	5
"7"	"BUR"	2018-08-31	0	0	27
"8"	"BUR"	2018-09-24	0	0	40
"9"	"BUR"	2018-10-25	0	0	18
"10"	"BUR"	2018-11-24	0.125	1	8
"11"	"BUR"	2019-01-03	0.03125	1	32
"12"	"BUR"	2019-01-23	0	0	4
"13"	"BUR"	2019-03-06	0.25	1	4
"14"	"BUR"	2019-03-23	0	0	3
"15"	"BUR"	2019-06-07	0	0	8
"16"	"BUR"	2019-07-26	0	0	16
"17"	"BUR"	2019-08-28	0	0	17
"18"	"BUR"	2019-09-25	0.125	3	24
"19"	"BUR"	2019-10-30	0.0256410256410256	1	39
"20"	"BUR"	2019-11-28	0.0238095238095238	1	42
"21"	"BUR"	2019-12-17	0	0	40
"22"	"BYL"	2018-06-17	0.0588235294117647	2	34
"23"	"CAN"	2017-06-07	0.142857142857143	5	35
"24"	"CAN"	2017-08-28	0.0869565217391304	4	46
"25"	"CAN"	2017-09-30	0	0	28
"26"	"CAN"	2017-10-28	0.0444444444444444	2	45
"27"	"CAN"	2017-11-24	0	0	43
"28"	"CAN"	2017-12-11	0	0	35
"29"	"CAN"	2018-01-20	0	0	28
"30"	"CLU"	2017-07-17	0.633333333333333	19	30
"31"	"CLU"	2017-08-08	0.138888888888889	5	36
"32"	"CLU"	2017-09-04	0.170212765957447	8	47
"33"	"CLU"	2018-02-14	0	0	36
"34"	"CLU"	2018-05-14	0.04	2	50
"35"	"CLU"	2018-06-11	0.0697674418604651	3	43
"36"	"CLU"	2018-08-01	0.422222222222222	19	45
"37"	"CLU"	2018-08-30	0.185185185185185	10	54
"38"	"CLU"	2018-10-10	0.0540540540540541	2	37
"39"	"CLU"	2018-11-01	0.0784313725490196	4	51
"40"	"CLU"	2018-11-29	0.0303030303030303	1	33
"41"	"CLU"	2019-01-05	0.0697674418604651	3	43
"42"	"CLU"	2019-01-26	0.0344827586206897	1	29
"43"	"CLU"	2019-02-27	0	0	38
"44"	"CLU"	2019-03-22	0.105263157894737	6	57
"45"	"CLU"	2019-05-07	0.0645161290322581	4	62
"46"	"CLU"	2019-06-05	0.0517241379310345	3	58
"47"	"CLU"	2019-07-02	0.09375	6	64
"48"	"CLU"	2019-07-24	0.140625	9	64
"49"	"CLU"	2019-08-31	0.153846153846154	6	39
"50"	"CLU"	2019-09-24	0.0816326530612245	4	49
"51"	"CLU"	2019-10-24	0.0545454545454545	3	55
"52"	"CLU"	2019-11-27	0	0	40
"53"	"CLU"	2019-12-19	0	0	50
"54"	"CUR"	2018-10-04	0.16	8	50
"55"	"GMP"	2019-01-30	0.0512820512820513	2	39
"56"	"HVB"	2018-07-23	0.0540540540540541	2	37
"57"	"LIS"	2017-08-27	0.4375	21	48
"58"	"LIS"	2017-10-01	0.0714285714285714	3	42
"59"	"LIS"	2017-10-29	0	0	33
"60"	"LIS"	2017-11-25	0	0	30
"61"	"LIS"	2017-12-17	0	0	34
"62"	"LIS"	2018-09-16	0.0714285714285714	1	14
"63"	"MAC"	2018-07-07	0	0	51
"64"	"MOM"	2019-01-15	0.128205128205128	5	39
"65"	"MUL"	2017-09-05	0.162162162162162	6	37
"66"	"NAM"	2017-09-02	0.277777777777778	10	36
"67"	"NAM"	2017-12-17	0.0666666666666667	1	15
"68"	"NAM"	2018-02-11	0	0	20
"69"	"NAM"	2018-05-20	0.25	8	32
"70"	"NAM"	2018-07-22	0.117647058823529	2	17
"71"	"NAM"	2018-09-02	0	0	17
"72"	"NAM"	2018-11-25	0	0	8
"73"	"NAM"	2019-02-17	0.0666666666666667	1	15
"74"	"NAM"	2019-04-28	0	0	20
"75"	"NAM"	2019-08-13	0.216216216216216	8	37
"76"	"RED"	2018-04-27	0.0333333333333333	1	30
"77"	"RED"	2018-05-24	0.0588235294117647	3	51
"78"	"RED"	2018-06-29	0.107142857142857	6	56
"79"	"RED"	2018-07-26	0.0701754385964912	4	57
"80"	"RED"	2018-08-28	0.348837209302326	15	43
"81"	"RED"	2018-10-03	0.1875	6	32
"82"	"RED"	2018-10-31	0.0606060606060606	2	33
"83"	"RED"	2018-11-30	0.0833333333333333	3	36
"84"	"RED"	2019-01-04	0.037037037037037	1	27
"85"	"RED"	2019-02-14	0	0	30
"86"	"RED"	2019-02-28	0.0434782608695652	1	23
"87"	"RED"	2019-03-25	0.0930232558139535	4	43
"88"	"RED"	2019-04-29	0.0909090909090909	4	44
"89"	"RED"	2019-05-27	0.0357142857142857	2	56
"90"	"RED"	2019-07-09	0.0487804878048781	2	41
"91"	"RED"	2019-08-02	0.0384615384615385	1	26
"92"	"RED"	2019-08-30	0.0638297872340425	3	47
"93"	"RED"	2019-09-27	0.06	3	50
"94"	"RED"	2019-10-25	0.0571428571428571	2	35
"95"	"RED"	2019-11-29	0	0	54
"96"	"RED"	2019-12-20	0.0178571428571429	1	56
"97"	"SBK"	2019-06-19	0	0	174
"98"	"SIM"	2017-08-23	0.3	15	50
"99"	"SUN"	2017-09-08	0	0	3
"100"	"SUN"	2017-10-08	0	0	31
"101"	"SUN"	2017-10-31	0.0769230769230769	1	13
"102"	"SUN"	2017-11-23	0.137931034482759	4	29
"103"	"SUN"	2017-12-18	0.0408163265306122	2	49
"104"	"SUN"	2018-01-22	0	0	51
"105"	"SUN"	2018-03-01	0	0	38
"106"	"SUN"	2018-03-13	0	0	44
"107"	"SUN"	2018-04-26	0.0540540540540541	2	37
"108"	"SUN"	2018-09-01	0	0	40
"109"	"SUN"	2018-09-29	0.15	6	40
"110"	"SUN"	2018-10-27	0.108695652173913	5	46
"111"	"SUN"	2018-11-26	0.0277777777777778	1	36
"112"	"SUN"	2019-01-02	0.0192307692307692	1	52
"113"	"SUN"	2019-01-24	0.153846153846154	4	26
"114"	"SUN"	2019-02-26	0.0476190476190476	2	42
"115"	"SUN"	2019-03-26	0.0851063829787234	4	47
"116"	"SUN"	2019-05-03	0.0816326530612245	4	49
"117"	"SUN"	2019-06-04	0.0344827586206897	1	29
"118"	"SUN"	2019-07-01	0.025	1	40
"119"	"SUN"	2019-07-25	0	0	21
"120"	"SUN"	2019-08-27	0.032258064516129	1	31
"121"	"SUN"	2019-09-25	0	0	50
"122"	"SUN"	2019-10-28	0	0	47
"123"	"SUN"	2019-11-25	0	0	43
"124"	"SUN"	2019-12-16	0	0	57
"125"	"TAM"	2017-06-01	0	0	22
"126"	"TOW"	2018-04-29	0	0	50
"127"	"TOW"	2018-06-01	0.184210526315789	7	38
"128"	"TOW"	2018-06-28	0.214285714285714	6	28
"129"	"TOW"	2018-07-20	0.227272727272727	10	44
"130"	"TOW"	2018-08-29	0.0285714285714286	1	35
"131"	"TOW"	2018-09-28	0.184210526315789	7	38
"132"	"TOW"	2018-10-26	0.025	1	40
"133"	"TOW"	2018-11-27	0.104166666666667	5	48
"134"	"TOW"	2018-12-23	0.0434782608695652	2	46
"135"	"TOW"	2019-01-29	0.0882352941176471	3	34
"136"	"TOW"	2019-03-14	0.025	1	40
"137"	"TOW"	2019-04-01	0.0645161290322581	2	31
"138"	"TOW"	2019-05-02	0.06	3	50
"139"	"TOW"	2019-06-06	0.107142857142857	3	28
"140"	"TOW"	2019-06-24	0.0789473684210526	3	38
"141"	"TOW"	2019-07-22	0.0851063829787234	4	47
"142"	"TOW"	2019-08-26	0.0869565217391304	4	46
"143"	"TOW"	2019-09-23	0	0	47
"144"	"TOW"	2019-10-29	0.0434782608695652	2	46
"145"	"TOW"	2019-11-26	0.0392156862745098	2	51
"146"	"TOW"	2019-12-18	0.024390243902439	1	41
"147"	"TYA"	2019-02-09	0.0350877192982456	2	57
