"site_abbrev"	"min_date"	"hen_prevalence"	"hen_num_pos"	"number_of_tests"
"1"	"BUR"	547	0.0833333333333333	3	36
"2"	"BUR"	577	0	0	5
"3"	"BUR"	608	0	0	27
"4"	"BUR"	632	0	0	40
"5"	"BUR"	663	0	0	18
"6"	"BUR"	693	0.125	1	8
"7"	"BYL"	533	0.0588235294117647	2	34
"8"	"CAN"	385	0	0	28
"9"	"CLU"	410	0	0	36
"10"	"CLU"	499	0.04	2	50
"11"	"CLU"	527	0.0697674418604651	3	43
"12"	"CLU"	578	0.422222222222222	19	45
"13"	"CLU"	607	0.185185185185185	10	54
"14"	"CLU"	648	0.0540540540540541	2	37
"15"	"CLU"	670	0.0784313725490196	4	51
"16"	"CLU"	698	0.0303030303030303	1	33
"17"	"CUR"	642	0.16	8	50
"18"	"HVB"	569	0.0540540540540541	2	37
"19"	"LIS"	624	0.0714285714285714	1	14
"20"	"MAC"	553	0	0	51
"21"	"NAM"	407	0	0	20
"22"	"NAM"	505	0.25	8	32
"23"	"NAM"	568	0.117647058823529	2	17
"24"	"NAM"	610	0	0	17
"25"	"NAM"	694	0	0	8
"26"	"RED"	482	0.0333333333333333	1	30
"27"	"RED"	509	0.0588235294117647	3	51
"28"	"RED"	545	0.107142857142857	6	56
"29"	"RED"	572	0.0701754385964912	4	57
"30"	"RED"	605	0.348837209302326	15	43
"31"	"RED"	641	0.1875	6	32
"32"	"RED"	669	0.0606060606060606	2	33
"33"	"RED"	699	0.0833333333333333	3	36
"34"	"SUN"	387	0	0	51
"35"	"SUN"	425	0	0	38
"36"	"SUN"	437	0	0	44
"37"	"SUN"	481	0.0540540540540541	2	37
"38"	"SUN"	609	0	0	40
"39"	"SUN"	637	0.15	6	40
"40"	"SUN"	665	0.108695652173913	5	46
"41"	"SUN"	695	0.0277777777777778	1	36
"42"	"TOW"	484	0	0	50
"43"	"TOW"	517	0.184210526315789	7	38
"44"	"TOW"	544	0.214285714285714	6	28
"45"	"TOW"	566	0.227272727272727	10	44
"46"	"TOW"	606	0.0285714285714286	1	35
"47"	"TOW"	636	0.184210526315789	7	38
"48"	"TOW"	664	0.025	1	40
"49"	"TOW"	696	0.104166666666667	5	48
"50"	"TOW"	722	0.0434782608695652	2	46
