,model_type,R0,gamma_val,omega_val,omega_m_val,kappa_val,rho_val,epsilon_val,mu_val,mj_val,m_val,delta_t,c,s,phi mod pi,phi,c_v,s_v,phi_v,zeta,disp,d,loglik,loglik.se
1,1,5.225248315,14.20829643,0,0.801,5000,0,0,1.37,0.5,0.187,365,25.14880662,217.6816992,2.479849317,11.90462728,1,3.815665685,0.941006832,0.3528729,31.59805792,8.973368635,-57.08638862,0.012057551
2,1,5.606160823,13.13054793,0,0.801,5000,0,0,1.37,0.5,0.187,365,30.31143775,219.1907726,2.150462524,8.433647831,1,2.925767937,0.969275969,0.415476173,24.25604692,7.397225981,-57.15733579,0.005642229
3,1,5.181753755,14.18755548,0,0.801,5000,0,0,1.37,0.5,0.187,365,14.3901867,50.57135309,2.315452956,24.30660153,1,3.244465488,0.965297777,0.453337359,28.47898989,7.224995376,-57.21503171,0.006752608
4,1,3.023562592,14.58427429,0,0.801,5000,0,0,1.37,0.5,0.187,365,28.76021666,132.225953,2.123919713,8.407105021,1,5.430008557,0.903269225,0.326366544,24.04670504,6.81297153,-57.24702368,0.006422332
5,1,8.622685723,13.48223384,0,0.801,5000,0,0,1.37,0.5,0.187,365,14.99538459,123.9151044,2.022547277,11.44732524,1,2.594692591,0.979888725,0.398531073,27.09269204,10.41527891,-57.31030404,0.007137996
6,1,11.93347207,15.64532041,0,0.801,5000,0,0,1.37,0.5,0.187,365,7.979420477,141.2835382,2.05405263,8.337237937,1,8.054984985,0.917373334,0.155520873,23.22572184,21.36355942,-57.59304325,0.011877271
7,1,3.032494445,15.35346462,0,0.801,5000,0,0,1.37,0.5,0.187,365,24.42168615,123.4205545,2.049020398,8.332205705,1,6.636515969,0.885016158,0.6680929,34.15180892,3.142753156,-57.67309904,0.009841951
8,1,8.600698855,15.45806782,0,0.801,5000,0,0,1.37,0.5,0.187,365,11.26907802,209.3599278,1.51025549,7.793440798,1,7.345657151,0.905775468,0.642067735,21.12089923,5.19591201,-57.76704245,0.007411005
9,1,4.852831406,18.13643126,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.1285082,156.7346502,1.765099589,8.048284897,1,13.58892929,0.884019547,0.835903923,18.40303198,3.017651258,-57.88668589,0.002687314
10,1,8.845755074,18.5065701,0,0.801,5000,0,0,1.37,0.5,0.187,365,7.066017975,111.5140107,2.217477572,8.500662879,1,15.13032785,0.898485177,0.250514688,18.35804467,11.50538872,-58.30865992,0.004845643
11,1,7.422309391,22.11663228,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.1027249,237.7957166,1.843572404,8.126757712,1,23.61239565,0.909294472,0.358098331,18.19272347,6.78899128,-58.40229922,0.003421769
12,1,12.97296831,19.12011632,0,0.801,5000,0,0,1.37,0.5,0.187,365,4.032361983,113.10853,1.663851117,4.805443771,1,15.72218931,0.886457359,0.868504418,17.36950264,5.00108608,-58.41621277,0.012466603
13,1,15.07807337,14.42914092,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.50895296,269.0176875,2.1903287,24.18147728,1,3.206372113,0.972480321,0.764235254,40.78378316,7.393949192,-58.59091476,0.039504066
14,1,6.252396587,14.65561001,0,0.801,5000,0,0,1.37,0.5,0.187,365,17.4042702,130.9256766,2.234878658,39.9339905,1,5.619782165,0.950528766,0.851799166,42.14905371,3.116240901,-58.72717587,0.012218947
15,1,4.259750741,31.18277674,0,0.801,5000,0,0,1.37,0.5,0.187,365,10.09884403,197.023386,1.973934382,17.68189765,1,52.12158548,0.842572717,0.813902185,24.00241782,3.30736221,-59.71335719,0.011310953
16,1,8.919779019,26.87288666,0,0.801,5000,0,0,1.37,0.5,0.187,365,6.64624482,209.2171531,0.488517688,19.33807361,1,34.41487599,0.882362782,0.242185959,24.21676697,15.76973807,-60.84340933,0.013850233
17,1,10.50695529,20.41900401,0,0.801,5000,0,0,1.37,0.5,0.187,365,9.061798605,219.4025783,0.173927388,37.87303923,1,14.22693637,0.919548103,0.278844377,30.99393859,13.20371462,-60.85528348,0.0150838
18,1,3.488150063,22.53808149,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.73927903,147.5783679,0.936293751,35.49381294,1,21.86053484,0.87049016,0.198501693,29.17089463,12.84122148,-61.40213173,0.013600968
19,1,7.039364414,13.3546873,0,0.801,5000,0,0,1.37,0.5,0.187,365,23.70331921,242.5840323,0.749609485,10.17438745,1,3.245583395,0.969341376,0.435781375,25.05915076,7.638329658,-61.52079638,0.033481658
20,1,11.08531531,17.97984651,0,0.801,5000,0,0,1.37,0.5,0.187,365,7.56066505,153.2067633,1.744580344,11.1693583,1,9.360501963,0.883558228,0.44723632,101.1917764,8.612028429,-61.53469796,0.032280731
21,1,8.417761828,22.43680056,0,0.801,5000,0,0,1.37,0.5,0.187,365,5.597710527,180.3119993,1.499519891,7.782705198,1,18.44085047,0.817062926,0.59400355,82.64155213,7.638215242,-62.31848047,0.031122773
22,1,7.164569287,13.90579933,0,0.801,5000,0,0,1.37,0.5,0.187,365,17.48837116,123.6760263,0.39667518,25.52941641,1,2.766570585,0.992086625,0.445372141,29.07487606,9.227696489,-62.8328405,0.025839541
23,1,6.556018668,18.06306084,0,0.801,5000,0,0,1.37,0.5,0.187,365,10.74048271,329.2895861,1.716267044,4.857859698,1,9.066894584,0.831875117,0.887900483,193.4024116,4.778070887,-62.87811644,0.061693698
24,1,4.389237968,13.81269194,0,0.801,5000,0,0,1.37,0.5,0.187,365,36.67716801,218.5597575,0.016015014,37.71512686,1,4.174992521,0.955250457,0.509758329,42.21745745,4.982095896,-63.76986617,0.012282696
25,1,9.244645205,14.93892062,0,0.801,5000,0,0,1.37,0.5,0.187,365,13.18176019,85.01250629,1.465308102,29.73964198,1,2.393027795,0.972925312,0.483759878,291.288627,10.17039548,-67.82333714,1.064121638
