"site_abbrev"	"day_2017"	"hen_prevalence"	"hen_num_pos"	"number_of_tests"
"1"	"ANC"	"218"	0.0454545454545455	1	22
"2"	"ANC"	"243"	0.0769230769230769	2	26
"3"	"BAN"	"242"	0.107142857142857	3	28
"4"	"CAN"	"158"	0.142857142857143	5	35
"5"	"CAN"	"240"	0.0869565217391304	4	46
"6"	"CAN"	"273"	0	0	28
"7"	"CAN"	"301"	0.0444444444444444	2	45
"8"	"CAN"	"328"	0	0	43
"9"	"CAN"	"345"	0	0	35
"10"	"CLU"	"198"	0.633333333333333	19	30
"11"	"CLU"	"220"	0.138888888888889	5	36
"12"	"CLU"	"247"	0.170212765957447	8	47
"13"	"LIS"	"239"	0.4375	21	48
"14"	"LIS"	"274"	0.0714285714285714	3	42
"15"	"LIS"	"302"	0	0	33
"16"	"LIS"	"329"	0	0	30
"17"	"LIS"	"351"	0	0	34
"18"	"MUL"	"248"	0.162162162162162	6	37
"19"	"NAM"	"245"	0.277777777777778	10	36
"20"	"NAM"	"351"	0.0666666666666667	1	15
"21"	"SIM"	"235"	0.3	15	50
"22"	"SUN"	"251"	0	0	3
"23"	"SUN"	"281"	0	0	31
"24"	"SUN"	"304"	0.0769230769230769	1	13
"25"	"SUN"	"327"	0.137931034482759	4	29
"26"	"SUN"	"352"	0.0408163265306122	2	49
"27"	"TAM"	"152"	0	0	22
