"site_abbrev"	"min_date"	"hen_prevalence"	"hen_num_pos"	"number_of_tests"
"1"	"BEL"	898	0	0	32
"2"	"BUR"	733	0.03125	1	32
"3"	"BUR"	753	0	0	4
"4"	"BUR"	795	0.25	1	4
"5"	"BUR"	812	0	0	3
"6"	"BUR"	888	0	0	8
"7"	"BUR"	937	0	0	16
"8"	"BUR"	970	0	0	17
"9"	"BUR"	998	0.125	3	24
"10"	"BUR"	1033	0.0256410256410256	1	39
"11"	"BUR"	1062	0.0238095238095238	1	42
"12"	"BUR"	1081	0	0	40
"13"	"CLU"	735	0.0697674418604651	3	43
"14"	"CLU"	756	0.0344827586206897	1	29
"15"	"CLU"	788	0	0	38
"16"	"CLU"	811	0.105263157894737	6	57
"17"	"CLU"	857	0.0645161290322581	4	62
"18"	"CLU"	886	0.0517241379310345	3	58
"19"	"CLU"	913	0.09375	6	64
"20"	"CLU"	935	0.140625	9	64
"21"	"CLU"	973	0.153846153846154	6	39
"22"	"CLU"	997	0.0816326530612245	4	49
"23"	"CLU"	1027	0.0545454545454545	3	55
"24"	"CLU"	1061	0	0	40
"25"	"CLU"	1083	0	0	50
"26"	"GMP"	760	0.0512820512820513	2	39
"27"	"MOM"	745	0.128205128205128	5	39
"28"	"NAM"	778	0.0666666666666667	1	15
"29"	"NAM"	848	0	0	20
"30"	"NAM"	955	0.216216216216216	8	37
"31"	"RED"	734	0.037037037037037	1	27
"32"	"RED"	775	0	0	30
"33"	"RED"	789	0.0434782608695652	1	23
"34"	"RED"	814	0.0930232558139535	4	43
"35"	"RED"	849	0.0909090909090909	4	44
"36"	"RED"	877	0.0357142857142857	2	56
"37"	"RED"	920	0.0487804878048781	2	41
"38"	"RED"	944	0.0384615384615385	1	26
"39"	"RED"	972	0.0638297872340425	3	47
"40"	"RED"	1000	0.06	3	50
"41"	"RED"	1028	0.0571428571428571	2	35
"42"	"RED"	1063	0	0	54
"43"	"RED"	1084	0.0178571428571429	1	56
"44"	"SBK"	900	0	0	174
"45"	"SUN"	732	0.0192307692307692	1	52
"46"	"SUN"	754	0.153846153846154	4	26
"47"	"SUN"	787	0.0476190476190476	2	42
"48"	"SUN"	815	0.0851063829787234	4	47
"49"	"SUN"	853	0.0816326530612245	4	49
"50"	"SUN"	885	0.0344827586206897	1	29
"51"	"SUN"	912	0.025	1	40
"52"	"SUN"	936	0	0	21
"53"	"SUN"	969	0.032258064516129	1	31
"54"	"SUN"	998	0	0	50
"55"	"SUN"	1031	0	0	47
"56"	"SUN"	1059	0	0	43
"57"	"SUN"	1080	0	0	57
"58"	"TOW"	759	0.0882352941176471	3	34
"59"	"TOW"	803	0.025	1	40
"60"	"TOW"	821	0.0645161290322581	2	31
"61"	"TOW"	852	0.06	3	50
"62"	"TOW"	887	0.107142857142857	3	28
"63"	"TOW"	905	0.0789473684210526	3	38
"64"	"TOW"	933	0.0851063829787234	4	47
"65"	"TOW"	968	0.0869565217391304	4	46
"66"	"TOW"	996	0	0	47
"67"	"TOW"	1032	0.0434782608695652	2	46
"68"	"TOW"	1060	0.0392156862745098	2	51
"69"	"TOW"	1082	0.024390243902439	1	41
"70"	"TYA"	770	0.0350877192982456	2	57
