"site_abbrev"	"min_date"	"hen_prevalence"	"hen_num_pos"	"number_of_tests"
"1"	"CLU"	2017-07-17	0.633333333333333	19	30
"2"	"CLU"	2017-08-08	0.138888888888889	5	36
"3"	"CLU"	2017-09-04	0.170212765957447	8	47
"4"	"CLU"	2018-02-14	0	0	36
"5"	"CLU"	2018-05-14	0.04	2	50
"6"	"CLU"	2018-06-11	0.0697674418604651	3	43
"7"	"CLU"	2018-08-01	0.422222222222222	19	45
"8"	"CLU"	2018-08-30	0.185185185185185	10	54
"9"	"CLU"	2018-10-10	0.0540540540540541	2	37
"10"	"CLU"	2018-11-01	0.0784313725490196	4	51
"11"	"CLU"	2018-11-29	0.0303030303030303	1	33
"12"	"CLU"	2019-01-05	0.0697674418604651	3	43
"13"	"CLU"	2019-01-26	0.0344827586206897	1	29
"14"	"CLU"	2019-02-27	0	0	38
"15"	"CLU"	2019-03-22	0.105263157894737	6	57
"16"	"CLU"	2019-05-07	0.0645161290322581	4	62
"17"	"CLU"	2019-06-05	0.0517241379310345	3	58
"18"	"CLU"	2019-07-02	0.09375	6	64
"19"	"CLU"	2019-07-24	0.140625	9	64
"20"	"CLU"	2019-08-31	0.153846153846154	6	39
"21"	"CLU"	2019-09-24	0.0816326530612245	4	49
"22"	"CLU"	2019-10-24	0.0545454545454545	3	55
"23"	"CLU"	2019-11-27	0	0	40
"24"	"CLU"	2019-12-19	0	0	50
