"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se"
"1",3,20.722199248062,0,0,0.799,5000,37.9003866898332,0.162681302556741,1.37,0.5,0.187,365,18.9163004007898,177.449982806685,7.18,1,6.06163443260372,0.241089898761348,0.860393725196806,904.584525378456,21.63803652826,-53.8241622238774,0.022450456381569
"2",3,12.7413752031964,0,0,0.799,5000,40.9796967032765,0.14079666133969,1.37,0.5,0.187,365,10.6056550408322,39.2849483178077,7.18,1,6.37545550651577,0.149965764903038,0.780960739197528,526.692300714294,25.8330241158343,-53.9730591978126,0.031970313954654
"3",3,15.9218728842727,0,0,0.799,5000,35.2392172820451,0.0995843477856067,1.37,0.5,0.187,365,12.4076663165649,98.3071285264236,7.18,1,6.52993625921862,0.0931299102990878,0.875532064737861,550.041123976088,23.934676853845,-54.3372127377226,0.0143725016429404
"4",3,16.4188233316918,0,0,0.799,5000,36.4347054250857,0.219615708856134,1.37,0.5,0.187,365,15.618110219061,68.9130661900376,7.18,1,6.08133620793465,0.202097657600353,0.921695613325493,65.2582824347634,17.0092395701731,-54.431971502199,0.0186427703399279
"5",3,16.4535411994917,0,0,0.799,5000,30.8613625950508,0.0923554266916531,1.37,0.5,0.187,365,14.0248548439376,114.033220670569,7.18,1,7.69019437864927,0.0268731746683592,0.82414648957181,360.183337293565,21.8783740309467,-54.4543444792292,0.053800659348835
"6",3,17.822925652856,0,0,0.799,5000,30.7432544351645,0.101678845523685,1.37,0.5,0.187,365,13.4348188198123,115.681003866097,7.18,1,7.35476637663266,0.0550269017178447,0.777909975074749,876.651264669769,23.122280210357,-54.4887356274911,0.0147916330239475
"7",3,16.6292124248364,0,0,0.799,5000,33.2204499291278,0.0812093396233663,1.37,0.5,0.187,365,12.9951518167575,120.60927809094,7.18,1,7.06603968921534,0.0340677252597608,0.780595087891728,631.352656051648,27.0180440472484,-54.5110658704107,0.0273411503787845
"8",3,13.6931115648539,0,0,0.799,5000,32.8462012844776,0.0875507457497714,1.37,0.5,0.187,365,9.53660905859887,51.5968021293848,7.18,1,7.0235557097572,0.0183630905155268,0.974721955474684,387.645345004586,20.2952295095017,-54.550353367116,0.0312864942426546
"9",3,14.5464596181129,0,0,0.799,5000,31.3597272255004,0.0925352956422117,1.37,0.5,0.187,365,14.858239787949,110.262124416031,7.18,1,7.15603243440996,0.0252076942759933,0.871584708570601,943.581398560232,20.9871934918116,-54.5782540475642,0.0320491175753981
"10",3,19.9261238359665,0,0,0.799,5000,29.2734113904857,0.0738421538854371,1.37,0.5,0.187,365,14.1109334861925,185.640909549956,7.18,1,7.30468144993188,0.00253828417514452,0.882854235615592,970.312720931732,22.1866848607549,-54.659393276287,0.0487013919438656
"11",3,24.3771986402871,0,0,0.799,5000,14.8395019482338,0.624297385515555,1.37,0.5,0.187,365,21.9787942314783,64.7990009032289,7.18,1,15.5126021600751,0.00936636648005116,0.862756900924149,33.9925029632492,6.18642831814045,-55.2255487239711,0.0131729474912992
"12",3,21.2496505181308,0,0,0.799,5000,16.7997143230324,0.58088323785714,1.37,0.5,0.187,365,19.9251573038461,39.4287669172387,7.18,1,9.53196689516821,0.0645146144095813,0.831978288570652,29.6877691238627,6.62499089166005,-55.5008974929322,0.00429147772577966
"13",3,18.3935990476015,0,0,0.799,5000,39.565118374487,0.786263589133541,1.37,0.5,0.187,365,16.6004262005649,67.054363205113,7.18,1,2.77951632139115,0.207305776328518,0.866124665329413,24.0105905519286,9.4938410609375,-57.8266768271684,0.0107152469229382
"14",3,9.6286704388431,0,0,0.799,5000,160.06831536847,4.15098929993827,1.37,0.5,0.187,365,17.711288980776,163.337021104647,7.18,1,2.46413966805924,0.223708305576814,0.680062060099134,22.1271292765869,12.9929995481917,-58.0728276752686,0.00573371455121663
"15",3,12.186015310672,0,0,0.799,5000,61.790383358217,5.6387444313467,1.37,0.5,0.187,365,20.2585312052344,118.919481793021,7.18,1,2.43721817516276,0.190660669827062,0.603180342938428,20.8644269522951,4.96639666821168,-58.1417414586697,0.00335539902868443
"16",3,14.4297615504711,0,0,0.799,5000,101.764090370562,7.46990216034052,1.37,0.5,0.187,365,17.4913448370344,97.2344273205928,7.18,1,2.50157706116053,0.217840294989148,0.431188058952229,20.9395009916947,7.88334646256098,-58.3094197787167,0.00184307716190723
"17",3,11.6889172259483,0,0,0.799,5000,66.581926228958,0.671875369604252,1.37,0.5,0.187,365,13.3922855961411,132.367369167635,7.18,1,2.57594389976098,0.148901880072257,0.691205393451746,29.7720091023172,23.9851373112824,-58.3873328543238,0.0102338079783557
"18",3,8.86392077039651,0,0,0.799,5000,119.360090694963,2.08419926946317,1.37,0.5,0.187,365,18.499476305667,98.4135437234172,7.18,1,2.54010922736375,0.217037778544797,0.984945070700793,28.2435374980998,12.7442113766667,-58.4183451862534,0.00658496682345497
"19",3,14.6031237187622,0,0,0.799,5000,157.255306560664,5.87139585425455,1.37,0.5,0.187,365,19.6320858986878,210.225471733966,7.18,1,2.48299245067936,0.231358952983687,0.388794578800953,20.9546258626197,14.4734918678293,-58.4810733413174,0.00556001490526847
"20",3,15.2175758594585,0,0,0.799,5000,34.7832482429918,4.09473326833572,1.37,0.5,0.187,365,19.0927750896529,198.524657688742,7.18,1,2.66826930880671,0.155047140671509,0.665482211997234,26.3134948137253,3.3051996970286,-58.6730254536705,0.00598283243978098
"21",3,15.3766018647603,0,0,0.799,5000,81.6491040409268,3.30521134915689,1.37,0.5,0.187,365,34.5575120304686,144.420987704105,7.18,1,2.4920456269701,0.224193186221521,0.445927065156746,29.5844595804151,12.4888979449372,-58.6949442040318,0.00462684082780927
"22",3,14.8196668574879,0,0,0.799,5000,285.133104643116,35.4426802699542,1.37,0.5,0.187,365,20.9346097750729,57.185048235803,7.18,1,2.29384870780023,0.132683415012028,0.606274138606858,22.7299149048424,2.93142051246488,-58.8137951780287,0.00112047703457464
"23",3,8.7901929875352,0,0,0.799,5000,58.2765188072522,6.92384756937049,1.37,0.5,0.187,365,36.2644169285838,88.4544116499658,7.18,1,2.3497020586101,0.0891686370192305,0.475090650643003,29.8581427415193,5.8589663088926,-59.2355850964451,0.00280131015450377
"24",3,12.8566893887926,0,0,0.799,5000,105.935226470799,3.92290111316471,1.37,0.5,0.187,365,9.65769350045426,161.298054552611,7.18,1,2.64093890442986,0.219863903512715,0.370186667008063,34.7261168442398,15.3995986169682,-59.3899730550122,0.00682861619696786
"25",3,9.66095108011692,0,0,0.799,5000,74.3493660815693,1.3703670812498,1.37,0.5,0.187,365,6.52840603985311,326.614018015585,7.18,1,2.80029338879515,0.207548930612281,0.727077152582023,55.8849275807933,15.0699442916833,-60.4344332916194,0.0115980710884544
"26",3,7.94571224461807,0,0,0.799,5000,170.746349721981,2.26716556317493,1.37,0.5,0.187,365,4.72765176999176,145.017038210644,7.18,1,2.76171344009857,0.236946911912054,0.792528836191,70.3884186610495,17.8678298838393,-60.9846782635153,0.0148546402581028
"27",3,9.11364998105559,0,0,0.799,5000,335.725520352497,3.07502246215099,1.37,0.5,0.187,365,6.84928906742209,84.3175546345299,7.18,1,2.6938247644445,0.21433670789701,0.801058908953674,71.8261084819813,20.5800233824636,-61.4433128468702,0.00579100817986742
"28",3,18.9295753107083,0,0,0.799,5000,274.102990494291,2.42233277052608,1.37,0.5,0.187,365,5.80730714288821,176.750256020589,7.18,1,2.68274228345177,0.220010564996544,0.743061172822449,252.198272519023,20.3361834546809,-65.3717274642653,0.0382472396025486
"29",3,10.4901250211713,0,0,0.799,5000,101.127635601943,1.30620472889466,1.37,0.5,0.187,365,3.30463329239,157.054810599044,7.18,1,2.82012693031137,0.212655960766119,0.837757999964048,342.274449312737,16.1606791853822,-65.3787663915025,0.0238431644614662
