"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se"
"1",2,68.9411667611776,11.57992,1.92271192445342,0.801,5000,0,0,1.37,0.501,0.191,365,7.55439739097942,130,7.179,1,145.73553092671,3.048746,0.286102224282308,31.022264781666,20,-55.5987885691256,0.0607748332513001
"2",2,63.6549761175604,11.57992,1.6617075305913,0.801,5000,0,0,1.37,0.501,0.191,365,7.86074967818236,130,7.179,1,97.9999453186221,3.048746,0.34824501208407,68.4712888484814,15,-55.894337387282,0.0531137915378334
"3",2,73.6476317015178,11.57992,1.62760058641496,0.801,5000,0,0,1.37,0.501,0.191,365,6.99328410556119,130,7.179,1,105.749086070149,3.048746,0.219705111629782,87.679179549385,25,-56.1357646664736,0.0785062598524897
"4",2,54.3528771189766,11.57992,2.50936910842928,0.801,5000,0,0,1.37,0.501,0.191,365,8.84442222359812,130,7.179,1,187.66669341927,3.048746,0.31874741700476,109.630122649708,15,-56.5211395711353,0.0820877576397036
"5",2,61.4979281042408,11.57992,2.40813618425675,0.801,5000,0,0,1.37,0.501,0.191,365,7.97399626839638,130,7.179,1,207.955500862025,3.048746,0.253233157941159,110.479244043875,20,-56.5898963461033,0.0748842589491635
"6",2,52.5712979855465,11.57992,1.82736662807491,0.801,5000,0,0,1.37,0.501,0.191,365,8.91958875119201,130,7.179,1,90.6271012444772,3.048746,0.458837322244238,119.920095722873,10,-56.6213459725913,0.0713133614150514
"7",2,70.4269825804499,11.57992,2.23400117476447,0.801,5000,0,0,1.37,0.501,0.191,365,7.20300528835032,130,7.179,1,210.797515883197,3.048746,0.216188487595542,100.957928025638,25,-56.635673721475,0.113796205508312
"8",2,59.1406200644526,11.57992,2.64482873061591,0.801,5000,0,0,1.37,0.501,0.191,365,8.24584997252603,130,7.179,1,246.348419732974,3.048746,0.331822791921135,97.7774060794061,15,-56.6582204823661,0.119299168746052
"9",2,55.9111114416205,11.57992,4.02938469618389,0.801,5000,0,0,1.37,0.501,0.191,365,8.728038548694,130,7.179,1,517.692623702998,3.048746,0.322348640116367,116.181356592333,15,-56.668430286821,0.0687729889929293
"10",2,54.5832560777929,11.57992,2.27480131191796,0.801,5000,0,0,1.37,0.501,0.191,365,8.52299193717587,130,7.179,1,170.301618988998,3.048746,0.481998511744643,99.5703742258897,10,-56.6934752476066,0.0487701425675652
