,model_type,R0,gamma_val,omega_val,omega_m_val,kappa_val,rho_val,epsilon_val,mu_val,mj_val,m_val,delta_t,c,s,phi,c_v,s_v,phi_v,zeta,disp,d,loglik,loglik.se,comment
1,3,11.67215873,0,0,0.799,5000,57.36723237,0.314586317,1.37,0.5,0.187,365,58.24067249,78.48732001,9.555055603,1,6.603897248,0.334058366,0.779070612,869.7031961,23.64731565,-56.14905756,0.107733833,Phi not fixed IF
2,3,10.64049999,0,0,0.799,5000,181.7267093,11.96546566,1.37,0.5,0.187,365,81.0132295,41.75247062,8.787397719,1,2.875987574,0.134085287,0.643351327,22.46683414,11.80614322,-56.32876523,0.006126614,Phi not fixed IF
3,3,7.044411483,0,0,0.799,5000,36.36796375,6.705723427,1.37,0.5,0.187,365,99.66911144,25.40095349,5.696720008,1,3.079074231,0.01729909,0.912647535,22.11018368,4.381995369,-56.42223146,0.00691471,Phi not fixed IF
4,3,10.33695931,0,0,0.799,5000,84.07279763,22.25741571,1.37,0.5,0.187,365,76.66749097,45.05490516,8.708252921,1,2.991326404,0.069897502,0.628288678,22.02058307,4.360902587,-56.63065166,0.002940676,Phi not fixed IF
5,3,13.41482162,0,0,0.799,5000,126.6138916,10.87095509,1.37,0.5,0.187,365,16.63786492,99.17919689,6.771433698,1,2.674941471,0.205329567,0.373454669,20.46764664,10.70920716,-57.00964384,0.009766342,Phi not fixed IF
6,3,10.69346667,0,0,0.799,5000,175.7849436,4.246365149,1.37,0.5,0.187,365,11.51903711,94.71087773,8.637163787,1,2.654739923,0.231518364,0.607284564,23.37595615,18.87634621,-57.03280617,0.009395946,Phi not fixed IF
7,3,11.8252553,0,0,0.799,5000,29.76243701,3.096323939,1.37,0.5,0.187,365,12.69272365,294.5519407,6.712204507,1,2.765897853,0.130152639,0.888952504,20.74174659,3.649568384,-57.11260903,0.008224358,Phi not fixed IF
8,3,9.307827126,0,0,0.799,5000,238.370849,6.863417917,1.37,0.5,0.187,365,23.44971135,101.6234473,4.370250985,1,2.49750693,0.240708234,0.943397652,20.634196,10.40445029,-57.14440415,0.005903366,Phi not fixed IF
9,3,25.76884942,0,0,0.799,5000,93.1056857,6.456114526,1.37,0.5,0.187,365,23.39811431,124.1727306,16.88284557,1,2.715783279,0.206920734,0.820743227,22.07831142,5.457819737,-57.15303227,0.003331948,Phi not fixed IF
10,3,10.57168092,0,0,0.799,5000,175.3757253,21.94691688,1.37,0.5,0.187,365,24.7472504,120.4312888,5.301558403,1,2.79528217,0.195056055,0.5582335,20.43433075,5.638814236,-57.22303292,0.00559941,Phi not fixed IF
11,3,15.81901487,0,0,0.799,5000,156.4148574,12.35759492,1.37,0.5,0.187,365,20.78119957,157.3476561,7.665068728,1,2.610357024,0.218439351,0.804267254,20.65874397,4.830267805,-57.24593825,0.008288327,Phi not fixed IF
12,3,10.06689477,0,0,0.799,5000,243.560921,10.141761,1.37,0.5,0.187,365,23.04006163,157.1599106,7.782164765,1,2.624643679,0.223207,0.604277713,21.36857963,11.67588298,-57.37617249,0.005536557,Phi not fixed IF
13,3,13.73010633,0,0,0.799,5000,321.5120529,14.41031702,1.37,0.5,0.187,365,25.11115721,112.8572937,4.719232611,1,2.63688312,0.233012477,0.511863491,21.46716764,11.67759523,-57.44609233,0.007137671,Phi not fixed IF
14,3,16.11492405,0,0,0.799,5000,39.88898901,4.935709195,1.37,0.5,0.187,365,16.58044453,98.26167788,7.826873893,1,2.752270336,0.121645818,0.576983546,21.73060675,5.031233202,-57.50315724,0.004143208,Phi not fixed IF
15,3,10.18422014,0,0,0.799,5000,55.04740727,2.957837203,1.37,0.5,0.187,365,28.71423596,58.21469598,7.788629337,1,2.834057739,0.165341537,0.577047013,27.83676166,11.67670531,-57.67528682,0.010420391,Phi not fixed IF
16,3,21.47134648,0,0,0.799,5000,209.779738,8.560593089,1.37,0.5,0.187,365,35.01494836,113.231458,39.71079849,1,2.848121604,0.228415486,0.558332304,38.95462714,12.77334504,-57.89622709,0.005137234,Phi not fixed IF
